Front,Back,Left,Right,Command
35.58,71.88,15.78,18.11,back
34.44,136.36,17.61,18.48,back
33.93,72.96,19.02,19.26,back
42.74,136.99,16.63,19.31,back
40.36,134.44,17.19,20.04,right
28.8,58.58,17.15,20.48,right
35.19,69.58,17.61,20.45,right
30.77,134.35,17.7,20.48,right
36.6,110.59,18.41,20.38,right
36.91,131.65,19.41,20.6,right
27.68,132.87,21.52,21.74,front
25.06,131.97,19.8,18.84,back
24.65,131.44,20.37,17.75,left
24.16,58.68,19.97,18.33,back
23.99,131.36,20.47,17.26,left
24.19,71.5,20.74,17.68,left
24.7,130.76,21.96,18.26,left
24.65,122.47,21.39,18.6,left
25.62,88.84,19.8,20.37,right
26.84,114.97,18.89,21.44,right
26.96,131.92,18.8,21.74,right
26.62,130.76,19.84,21.05,right
26.44,58.5,19.89,20.3,right
25.94,131.77,18.62,18.45,back
24.82,100.08,18.48,18.17,back
24.38,129.25,18.84,18.41,back
24.7,105.15,18.68,20.96,right
24.65,74.49,18.38,17.87,back
25.02,130.19,18.31,17.56,back
25.23,75.89,17.77,17.27,back
25.04,128.47,16.97,18.99,back
25.38,129.49,16.59,20.76,right
25.74,129.4,15.33,24.24,right
26.81,128.93,13.7,19.24,back
26.96,128.42,12.84,20.13,right
26.88,47.6,12.51,28.17,right
26.25,129.22,11.08,25.13,right
29.02,54.25,10.83,68.61,right
34.09,51.8,10.81,66.45,right
25.09,129.91,11.08,55.05,right
25.89,66.64,15.83,64.75,right
25.4,93.52,13.89,51.83,right
26.91,198.99,13.96,55.08,right
26.16,136.12,26.45,52.55,front
28.53,198.1,24.17,54.33,front
73.61,640.73,21.45,56.95,front
73.58,125.63,24.17,51.43,front
73.15,61.25,23.27,51.15,front
54.3,190.55,23.51,50.95,front
55.15,678.76,19.09,50,right
59.47,350.18,18.77,51.39,right
69.92,669.43,18.75,50.61,right
60.15,216.68,19.75,55.96,right
66.08,69.79,23.87,58.97,front
60.21,67.97,24.26,59.08,front
52.07,68.51,24.55,48.54,front
51.03,429.9,25.23,58.6,front
59.5,99.98,26.13,58.11,front
59.76,578.44,26.25,57.97,front
58.09,42.89,26.1,57.89,front
57.72,42.47,26.83,57.09,front
57.32,43.54,26.49,57.87,front
57.26,43.88,26.33,55.95,front
56.71,43.96,26.03,55.25,front
55.64,47.87,25.81,55.37,front
55.11,45.48,25.81,54.89,front
54.08,47.11,25.96,55.39,front
53.94,46.58,25.91,73.95,front
53.21,45.65,25.26,54.33,front
53.02,45.93,25.11,53.23,front
52.24,47.31,24.96,67.95,front
51.66,48.79,25.26,51.51,front
51.02,49.05,25.01,50.9,front
49.96,49.81,25.23,51.31,front
49.25,49.76,24.77,70.86,front
48.88,50.08,24.53,49.96,front
47.8,51.07,24.46,132.79,front
47.11,51.17,24.19,49.25,front
46.73,51.82,24.51,48.93,front
46.07,53.38,24.62,71.31,front
44.97,53.65,25.31,69.63,front
44.68,54.88,24.62,45.59,front
44.22,55.57,24.51,43.4,front
43.23,44.66,23.55,43.33,front
42.76,60.57,23.22,43.72,front
42.09,59.08,24.19,41.82,front
41.31,62.15,23.97,40.44,front
40.17,60.64,23.02,40.72,front
39.53,51.6,22.51,38.22,front
39.03,48.6,22.2,38.18,front
38.39,54.64,22.88,37.81,front
37.59,54.93,22.39,35.9,front
36.96,64.36,22.47,35.58,front
37.32,64.87,21.39,35.29,front
36.65,66.3,20.91,34.44,front
37.37,66.78,20.62,33.08,front
68.56,65.14,20.47,32.62,front
34.61,66.32,21.34,31.94,front
33.59,63.95,21.2,30.87,front
32.45,71.38,20.54,30.16,front
31.67,61.93,20.48,29.44,front
30.62,88.2,19.74,28.97,right
29.94,76.45,20.52,28.03,front
28.9,234.46,21.08,27.44,front
27.95,44.9,21.69,27.51,front
27.34,74.15,21.56,26.4,front
27.18,62.07,36.87,26.44,front
26.04,74.22,34.66,26.2,front
25.52,75.8,33.66,24.46,front
24.7,67.03,33.66,23.8,front
24.48,42.55,33.12,24.62,front
23.38,75.85,32.79,23.05,front
23.05,69.53,32.1,22.12,front
22.27,70.38,30.65,21.47,front
21.68,64.07,31.13,21.52,front
20.96,78.78,29.67,20.37,front
20.65,70.23,29.41,20.11,front
19.89,80.65,27.54,18.63,left
18.8,80.95,26.52,18.68,left
18.55,64.43,28.05,17.77,left
17.63,73.66,28.08,17.24,left
17.8,85.29,47.75,17.17,left
17.6,59.31,17.39,15.81,back
17.73,86.07,16.44,15.96,back
18.12,88.77,15.32,15.49,back
18.22,58.16,15.56,15.9,back
18.77,209.22,15.52,16.46,back
18.97,336.92,15.18,16.39,back
18.84,80.21,15.25,16.2,back
19.96,55.32,15.33,16.46,back
20.72,329.22,16.05,16.69,back
22.15,397.24,16.01,17.63,back
44.34,50.17,16.17,17.46,back
41.75,53.81,15.9,17.75,back
23.26,83.88,15.78,18.38,back
23.15,52.16,15.98,18.9,back
22.92,81.24,16.2,19.38,back
23.34,81.02,16.08,20.09,right
23.68,81.57,16.37,20.54,right
24.06,50.95,17.05,20.74,right
24.04,50.9,17.48,21.44,right
23.61,78.42,18.34,22.02,right
23.73,67.71,20.3,22.19,front
23.22,1077.66,32.79,23.31,front
22.83,79.36,32.52,23.1,front
22.66,80.22,33.17,23.09,front
22.51,69.04,32.96,23.26,front
22.27,75.96,33.27,23.05,front
21.95,79.73,33.27,23.19,front
21.68,77.77,32.67,23.77,front
21.52,80.1,31.91,23.17,front
21.18,78,31.18,21.9,front
20.67,56.73,30.8,21.13,front
20.67,80.24,31.18,20.23,front
19.65,72.57,30.72,21.68,left
19.58,72.96,30.26,20.31,left
19.04,44.51,29.94,20.37,left
18.48,84.78,30.41,18.82,left
